"Year","Sex","Subclassification","Value","Value Footnotes","Number"
"2008","Men","F Construction","852078","1,2","426" 
"2007","Men","F Construction","872833","1,2","439"
"2006","Men","F Construction","723261","1,2","392"
"2005","Men","F Construction","823253","1,2","412"
"2004","Men","F Construction","754986","1,2","377"
"2003","Men","F Construction","745036","1,2","373"
"2002","Men","F Construction","792012","1,2","396"
"2001","Men","5 Construction","6166","1,2,3","3"
"2000","Men","5 Construction","25387","2,3,4","13"
"1999","Men","5 Construction","244098","2,3,4","122"
"1998","Men","5 Construction","326211","2,3,4","163"
"2008","Men","N Health and Social Work","1146652","1,2","188"
"2007","Men","N Health and Social Work","1167192","1,2","191"
"2006","Men","N Health and Social Work","1028818","1,2","169"
"2005","Men","N Health and Social Work","1199212","1,2","197"
"2004","Men","N Health and Social Work","1144449","1,2","188"
"2003","Men","N Health and Social Work","1139168","1,2","187"
"2002","Men","N Health and Social Work","1020346","1,2","167"
"2001","Men","9 Community, Social and Personal Services","10771","1,2,3","2"
"2000","Men","9 Community, Social and Personal Services","770721","2,3,4","126"
"1999","Men","9 Community, Social and Personal Services","728871","2,3,4","119"
"1998","Men","9 Community, Social and Personal Services","730471","2,3,4","120"
"2008","Men","A Agriculture, Hunting and Forestry","2654412","1,2","354"
"2007","Men","A Agriculture, Hunting and Forestry","2645315","1,2","353"
"2006","Men","A Agriculture, Hunting and Forestry","180571","1,2","24"
"2005","Men","A Agriculture, Hunting and Forestry","3193605","1,2","426"
"2004","Men","A Agriculture, Hunting and Forestry","2888179","1,2","385"
"2003","Men","A Agriculture, Hunting and Forestry","2958104","1,2","394"
"2002","Men","A Agriculture, Hunting and Forestry","2828892","1,2","377"
"2001","Men","1 Agriculture, Hunting, Forestry and Fishing","32314","1,2,3","4"
"2000","Men","1 Agriculture, Hunting, Forestry and Fishing","516","2,3,4","0.1"
"1999","Men","1 Agriculture, Hunting, Forestry and Fishing","506","2,3,4","0.1"
"1998","Men","1 Agriculture, Hunting, Forestry and Fishing","432","2,3,4","0.1"

