"Year","Sex","Subclassification","Value","Value Footnotes","Number"
"2008","Men","F Construction","852078","1,2","426" 
"2007","Men","F Construction","872833","1,2","439"
"2006","Men","F Construction","723261","1,2","392"
"2005","Men","F Construction","823253","1,2","412"
"2004","Men","F Construction","754986","1,2","377"
"2003","Men","F Construction","745036","1,2","373"
"2002","Men","F Construction","792012","1,2","396"
"2001","Men","5 Construction","6166","1,2,3","3"
"2000","Men","5 Construction","25387","2,3,4","13"
"1999","Men","5 Construction","244098","2,3,4","122"
"1998","Men","5 Construction","326211","2,3,4","163"



