"Year","Sex","Subclassification","Value","Value Footnotes","Number"
"2008","Women","F Construction","26388","1,2","13"
"2007","Women","F Construction","32281","1,2","16"
"2006","Women","F Construction","31968","1,2","16"
"2005","Women","F Construction","23011","1,2","12"
"2004","Women","F Construction","26384","1,2","13"
"2003","Women","F Construction","2141","1,2","1"
"2002","Women","F Construction","33757","1,2","17"
"2001","Women","5 Construction","258","1,2,3","0.1"
"2000","Women","5 Construction","11691","2,3,4","6"
"1999","Women","5 Construction","2542","2,3,4","1"
"1998","Women","5 Construction","26185","2,3,4","13"



